Nombre de campo;"Tipo de
campo";Contenido
provincia;Texto;Provincia
departamento;Texto;Departamento
sector;Texto;Sector
ambito;Texto;Ámbito
inicial_1;Numérico;Matrícula Inicial _1 año corrido
inicial_2;Numérico;Matrícula Inicial _2 año corrido
inicial_3;Numérico;Matrícula Inicial _3 año corrido
inicial_4;Numérico;Matrícula Inicial _4 año corrido
inicial_5;Numérico;Matrícula Inicial _5 año corrido
inicial_6;Numérico;Matrícula Inicial _6 año corrido
inicial_7;Numérico;Matrícula Inicial _7 año corrido
inicial_8;Numérico;Matrícula Inicial _8 año corrido
inicial_9;Numérico;Matrícula Inicial _9 año corrido
inicial_10;Numérico;Matrícula Inicial _10 año corrido
inicial_11;Numérico;Matrícula Inicial _11 año corrido
inicial_12;Numérico;Matrícula Inicial _12 año corrido
inicial_1314;Numérico;Matrícula Inicial _1314 año corrido
inicial_20;Numérico;Matrícula Inicial de organización no graduada
m_inicial_1;Numérico;Matrícula Inicial Mujeres _1 año corrido
m_inicial_2;Numérico;Matrícula Inicial Mujeres _2 año corrido
m_inicial_3;Numérico;Matrícula Inicial Mujeres _3 año corrido
m_inicial_4;Numérico;Matrícula Inicial Mujeres _4 año corrido
m_inicial_5;Numérico;Matrícula Inicial Mujeres _5 año corrido
m_inicial_6;Numérico;Matrícula Inicial Mujeres _6 año corrido
m_inicial_7;Numérico;Matrícula Inicial Mujeres _7 año corrido
m_inicial_8;Numérico;Matrícula Inicial Mujeres _8 año corrido
m_inicial_9;Numérico;Matrícula Inicial Mujeres _9 año corrido
m_inicial_10;Numérico;Matrícula Inicial Mujeres _10 año corrido
m_inicial_11;Numérico;Matrícula Inicial Mujeres _11 año corrido
m_inicial_12;Numérico;Matrícula Inicial Mujeres _12 año corrido
m_inicial_1314;Numérico;Matrícula Inicial Mujeres _1314 año corrido
m_inicial_20;Numérico;Matrícula Inicial Mujeres de organización no graduada
entrados_1;Numérico;Matrícula Entrados _1 año corrido
entrados_2;Numérico;Matrícula Entrados _2 año corrido
entrados_3;Numérico;Matrícula Entrados _3 año corrido
entrados_4;Numérico;Matrícula Entrados _4 año corrido
entrados_5;Numérico;Matrícula Entrados_5 año corrido
entrados_6;Numérico;Matrícula Entrados_6 año corrido
entrados_7;Numérico;Matrícula Entrados _7 año corrido
entrados_8;Numérico;Matrícula Entrados_8 año corrido
entrados_9;Numérico;Matrícula Entrados _9 año corrido
entrados_10;Numérico;Matrícula Entrados Mujeres _10 año corrido
entrados_11;Numérico;Matrícula Entrados _11 año corrido
entrados_12;Numérico;Matrícula Entrados _12 año corrido
entrados_1314;Numérico;Matrícula Entrados _1314 año corrido
entrados_20;Numérico;Matrícula Entrados de organización no graduada
m_entrados_1;Numérico;Matrícula Entrados Mujeres _1 año corrido
m_entrados_2;Numérico;Matrícula Entrados Mujeres _2 año corrido
m_entrados_3;Numérico;Matrícula Entrados Mujeres _3 año corrido
m_entrados_4;Numérico;Matrícula Entrados Mujeres _4 año corrido
m_entrados_5;Numérico;Matrícula Entrados Mujeres _5 año corrido
m_entrados_6;Numérico;Matrícula Entrados Mujeres _6 año corrido
m_entrados_7;Numérico;Matrícula Entrados Mujeres _7 año corrido
m_entrados_8;Numérico;Matrícula Entrados Mujeres _8 año corrido
m_entrados_9;Numérico;Matrícula Entrados Mujeres _9 año corrido
m_entrados_10;Numérico;Matrícula Entrados Mujeres _10 año corrido
m_entrados_11;Numérico;Matrícula Entrados Mujeres _11 año corrido
m_entrados_12;Numérico;Matrícula Entrados Mujeres _12 año corrido
m_entrados_1314;Numérico;Matrícula Entrados Mujeres _1314 año corrido
m_entrados_20;Numérico;Matrícula Entrados Mujeres de organización no graduada
scp_1;Numérico;Salidos con Pase _1 año corrido
scp_2;Numérico;Salidos con Pase _2 año corrido
scp_3;Numérico;Salidos con Pase _3 año corrido
scp_4;Numérico;Salidos con Pase _4 año corrido
scp_5;Numérico;Salidos con Pase _5 año corrido
scp_6;Numérico;Salidos con Pase _6 año corrido
scp_7;Numérico;Salidos con Pase _7 año corrido
scp_8;Numérico;Salidos con Pase _8 año corrido
scp_9;Numérico;Salidos con Pase _9 año corrido
scp_10;Numérico;Salidos con Pase _10 año corrido
scp_11;Numérico;Salidos con Pase _11 año corrido
scp_12;Numérico;Salidos con Pase _12 año corrido
scp_1314;Numérico;Salidos con Pase _1314 año corrido
scp_20;Numérico;Salidos con Pase de organización no graduada
m_scp_1;Numérico;Salidos con Pase Mujeres _1 año corrido
